City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,aden,12.7794,45.0367,29.75,84,98,3.54,YE,1726368349
343,dahab,28.501,34.5134,27.24,54,0,6.7,EG,1726368350
344,murwillumbah,-28.3167,153.4,23.01,53,25,6.69,AU,1726368351
345,chibougamau,49.9168,-74.3659,14.79,88,0,1.03,CA,1726368353
346,turabah,21.2141,41.6331,27.66,48,60,3.43,SA,1726368355
347,usogorsk,63.4106,48.6872,15.4,83,99,1.66,RU,1726368356
348,gobabis,-22.45,18.9667,14.96,10,13,4.16,NA,1726368357
349,asau,46.4333,26.4,8.37,90,4,2.44,RO,1726368359
350,egilsstadir,65.2653,-14.3948,4.95,87,100,9.77,IS,1726368360
351,iskateley,67.6803,53.1512,16.05,78,92,3.9,RU,1726368362
352,saldanha,-33.0117,17.9442,13.03,89,1,3.49,ZA,1726368363
353,urzhar,47.093,81.6294,15.67,34,0,1.75,KZ,1726368364
354,cortland,42.6001,-76.083,16.51,95,0,0.0,US,1726368365
355,guiuan,11.0333,125.7247,28.83,77,22,12.62,PH,1726368366
356,olinda,-8.0089,-34.8553,25.85,73,40,4.63,BR,1726368367
357,tucumcari,35.1717,-103.725,25.91,31,0,4.12,US,1726368369
358,norilsk,69.3535,88.2027,3.64,63,80,1.28,RU,1726368370
359,conde,-7.2597,-34.9075,22.7,88,40,2.57,BR,1726368371
360,pervomayskoye,43.919,46.7102,16.45,89,0,3.85,RU,1726368372
361,kourou,5.1552,-52.6478,25.57,83,27,3.96,GF,1726368373
362,mahanoro,-19.9,48.8,20.0,83,88,1.43,MG,1726368375
